summary_length,subject_length,word_count,recipient_count,year,month,day,hour,minute,classification,tone_analysis,people_count,organizations_count,locations_count,projects_count,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31,tfidf_32,tfidf_33,tfidf_34,tfidf_35,tfidf_36,tfidf_37,tfidf_38,tfidf_39,tfidf_40,tfidf_41,tfidf_42,tfidf_43,tfidf_44,tfidf_45,tfidf_46,tfidf_47,tfidf_48,tfidf_49,classification_encoded,tone_analysis_encoded,som_x,som_y
646,21,103,1,2000,4,14,9,58,Internal Communication & Business Project Coordination,Collaborative/Professional,0,2,1,2,0.25585823433153904,0.0,0.0,0.0,0.44352051265158415,0.0,0.0,0.0,0.0,0.0,0.0,0.2531874420913663,0.0,0.0,0.0,0.0,0.1644560137262426,0.0,0.510210860614812,0.0,0.0,0.0,0.0,0.0,0.18584322780941784,0.0,0.0,0.2178974557599694,0.0,0.0,0.0,0.22290277331100775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5046371788822059,0.0,0.0,0.0,0.0,0.0,0.0,15,1,0,3
639,18,90,1,2002,4,10,9,52,Legal/Compliance Matter,Concerned/Critical,0,1,2,15,0.0,0.0,0.2581108013681673,0.20737539438007335,0.22762551927112143,0.0,0.0,0.20781997561518092,0.0,0.0,0.0,0.0,0.0,0.0,0.7448300763874093,0.0,0.0,0.11933205780704773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2430878280237493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2091698700234358,0.0,0.0,0.0,0.0,0.0,0.0,0.258992079531647,0.0,0.0,0.0,0.0,0.0,0.23756921960527444,20,6,0,4
518,103,77,12,2001,6,20,5,3,Business Project Coordination,Collaborative/Professional,11,15,7,0,0.0,0.0,0.0,0.0,0.6274567305576008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7786514311795533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,1
565,39,93,21,2001,10,30,13,31,Business Project Coordination,Collaborative/Professional,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5390133542248746,0.0,0.0,0.0,0.27599348525978534,0.0,0.0,0.0,0.0,0.6485490812960716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46116839572050905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,7,7
486,54,79,3,2001,7,5,18,42,Internal Communication,Concerned/Critical,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33701357173202057,0.0,0.0,0.7311157572558784,0.0,0.0,0.0,0.0,0.2374453922705929,0.1678548454157611,0.24555140955211158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29422249849398857,0.0,0.0,0.0,0.0,0.3470931649678964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6,4,4
454,26,67,1,2001,8,2,6,40,Market/Trading Information,Collaborative/Professional,0,4,2,1,0.2581609354555071,0.8260493841571064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24713881285206551,0.0,0.0,0.0,0.1659361030758784,0.0,0.34320180835038006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21117642378233148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,3,0
661,51,99,1,2000,11,8,4,8,Internal Communication,Collaborative/Professional,4,3,2,0,0.5065679432926103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22476511073376765,0.0,0.0,0.0,0.11508751274895845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23444139002476494,0.0,0.22659887162371295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7571754184180218,0.0,0.0,0.0,0.0,0.0,14,1,0,2
787,61,118,4,2001,5,30,8,12,Business Project Coordination,Collaborative/Professional,1,6,0,4,0.394928636190746,0.1579589085272334,0.0,0.0,0.0,0.0,0.17963384002016433,0.0,0.0,0.7955275293270222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3503415054408214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17666017859527736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,2,5
406,47,57,1,2001,11,20,7,4,Internal Communication,Collaborative/Professional,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36216037468038387,0.1280091669212372,0.0,0.6664418681955986,0.0,0.0,0.0,0.24933253932531868,0.0,0.0,0.26076371199705684,0.0,0.0,0.0,0.0,0.0,0.27410831597506613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2646995788625833,0.0,0.0,0.0,0.0,0.0,0.0,0.26076371199705684,0.25484382358487717,14,1,3,7
875,30,138,1,2000,9,8,8,50,Business Project Coordination,Collaborative/Professional,2,2,0,0,0.44333814901415547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4079623350131775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35778521676962327,0.4357171454895091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4372048321873853,0.0,0.35778521676962327,0.0,0.0,0.0,0.0,3,1,0,3
